play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count;act_num;scene_num
A Midsummer Night's Dream;MND I.i;1;Egeus, Demetrius, Helena, Hermia, Hippolyta, Lysander, Philostrate, Theseus;yes;8;1;1
A Midsummer Night's Dream;MND I.ii;2;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6;1;2
A Midsummer Night's Dream;MND II.i;3;Demetrius, Helena, Fairy, Oberon, Puck, Titania;yes;6;2;1
A Midsummer Night's Dream;MND II.ii;4;Demetrius, First Fairy, Helena, Hermia, Lysander, Oberon, Puck, Titania;yes;8;2;2
A Midsummer Night's Dream;MND III.i;5;Bottom, Cobweb, Flute, Moth, Mustardseed, Peaseblossom, Puck, Quince, Snout, Snug, Starveling, Titania;no;12;3;1
A Midsummer Night's Dream;MND III.ii;6;Demetrius, Helena, Hermia, Lysander, Oberon, Puck;no;6;3;2
A Midsummer Night's Dream;MND IV.i;7;Bottom, Cobweb, Demetrius, Egeus, Helena, Hermia, Hippolyta, Lysander, Moth, Mustardseed, Oberon, Peaseblossom, Puck, Theseus, Titania;yes;15;4;1
A Midsummer Night's Dream;MND IV.ii;8;Bottom, Flute, Quince, Snout, Snug, Starveling;no;6;4;2
A Midsummer Night's Dream;MND V.i;9;Bottom, Demetrius, Flute, Helena, Hermia, Hippolyta, Lysander, Philostrate, Puck, Quince, Snout, Snug, Starveling, Theseus;yes;14;5;1
All's Well That Ends Well;AW I.i;1;Bertram, Countess, Helena, Lafew, Page, Parolles;no;6;1;1
All's Well That Ends Well;AW I.ii;2;Bertram, King, First Lord, Second Lord;no;4;1;2
All's Well That Ends Well;AW I.iii;3;Clown, Countess, Helena, Steward;no;4;1;3
All's Well That Ends Well;AW II.i;4;Bertram, King, Helena, Lafew, First Lord, Second Lord, Parolles;yes;7;2;1
All's Well That Ends Well;AW II.ii;5;Clown, Countess;no;2;2;2
All's Well That Ends Well;AW II.iii;6;Bertram, Helena, King, Lafew, First Lord, Second Lord, Parolles;yes;7;2;3
All's Well That Ends Well;AW II.iv;7;Clown, Helena, Parolles;no;3;2;4
All's Well That Ends Well;AW II.v;8;Bertram, Helena, Lafew, Parolles;no;4;2;5
All's Well That Ends Well;AW III.i;9;Duke, First Lord, Second Lord;no;3;3;1
All's Well That Ends Well;AW III.ii;10;Clown, Countess, Helena, First Lord, Second Lord;no;5;3;2
All's Well That Ends Well;AW III.iii;11;Bertram, Duke, Parolles;yes;3;3;3
All's Well That Ends Well;AW III.iv;12;Countess, Steward;no;2;3;4
All's Well That Ends Well;AW III.v;13;Bertram, Diana, Helena, Mariana, Parolles, Widow,;yes;6;3;5
All's Well That Ends Well;AW III.vi;14;Bertram, First Lord, Second Lord, Parolles;no;4;3;6
All's Well That Ends Well;AW III.vii;15;Helena, Widow;no;2;3;7
All's Well That Ends Well;AW IV.i;16;First Lord, Parolles, First Soldier, Second Soldier;yes;4;4;1
All's Well That Ends Well;AW IV.ii;17;Bertram, Diana;no;2;4;1
All's Well That Ends Well;AW IV.iii;18;Bertram, First Lord, Second Lord, Messenger, Parolles, First Soldier;yes;6;4;1
All's Well That Ends Well;AW IV.iv;19;Diana, Helena, Widow;no;3;4;4
All's Well That Ends Well;AW IV.v;20;Clown, Countess, Lafew;no;3;4;5
All's Well That Ends Well;AW V.i;21;Diana, Gentleman, Helena, Widow;yes;4;5;1
All's Well That Ends Well;AW V.ii;22;Clown, Lafew, Parolles;no;3;5;2
All's Well That Ends Well;AW V.iii;23;Attendant, Bertram, Countess, Diana, Gentleman, Helena, King, Lafew, Parolles, Widow;yes;10;5;3
Antony and Cleopatra;AC I.i;1;Antony, Charmian, Cleopatra, Demetrius, Iras, Messenger, Philo;yes;7;1;1
Antony and Cleopatra;AC I.ii;2;Alexas, Antony, Charmian, Cleopatra, Enobarbus, Iras, Messenger 1, Messenger 2, Soothsayer;yes;9;1;2
Antony and Cleopatra;AC I.iii;3;Alexas, Antony, Charmian, Cleopatra, Iras;no;5;1;3
Antony and Cleopatra;AC I.iv;4;Caesar, Lepidus, Messenger;yes;3;1;4
Antony and Cleopatra;AC I.v;5;Alexas, Charmian, Cleopatra, Iras, Mardian;no;5;1;5
Antony and Cleopatra;AC II.i;6;Menas, Menecrates, Pompey, Varrius;no;4;2;1
Antony and Cleopatra;AC II.ii;7;Agrippa, Antony, Enobarbus, Lepidus, Ventidius;no;5;2;2
Antony and Cleopatra;AC II.iii;8;Antony, Caesar, Octavia, Soothsayer;yes;4;2;3
Antony and Cleopatra;AC II.iv;9;Agrippa, Lepidus, Maecenas;no;3;2;4
Antony and Cleopatra;AC II.v;10;Alexas, Charmian, Cleopatra, Iras, Mardian, Messenger;no;6;2;5
Antony and Cleopatra;AC II.vi;11;Agrippa, Antony, Caesar, Enobarbus, Lepidus, Maecenas, Menas, Pompey,;yes;8;2;6
Antony and Cleopatra;AC III.i;12;Silius, Ventidius;yes;2;3;1
Antony and Cleopatra;AC III.ii;13;Agrippa, Antony, Caesar, Enobarbus, Lepidus, Octavia;no;6;3;2
Antony and Cleopatra;AC III.iii;14;Alexas, Charmian, Cleopatra, Iras, Messenger;no;5;3;3
Antony and Cleopatra;AC III.iv;15;Antony, Octavia;no;2;3;4
Antony and Cleopatra;AC III.v;16;Enobarbus, Eros;no;2;3;5
Antony and Cleopatra;AC III.vi;17;Agrippa, Caesar, Maecenas, Octavia;yes;4;3;6
Antony and Cleopatra;AC III.vii;18;Antony, Canidius, Cleopatra, Enobarbus, Messenger, Soldier;no;6;3;7
Antony and Cleopatra;AC III.viii;19;Caesar, Taurus;yes;2;3;8
Antony and Cleopatra;AC III.ix;20;Antony, Enobarbus;no;2;3;9
Antony and Cleopatra;AC III.x;21;Canidius, Enobarbus, Scarus, Taurus;yes;4;3;10
Antony and Cleopatra;AC III.xi;22;Antony, Charmian, Cleopatra, Eros, Iras,;yes;5;3;11
Antony and Cleopatra;AC III.xii;23;Agrippa, Ambassador, Caesar, Dolabella, Thidias;yes;5;3;12
Antony and Cleopatra;AC III.xiii;24;Ambassador, Antony, Charmian, Cleopatra, Enobarbus, Iras, Servant, Thidias;no;8;3;13
Antony and Cleopatra;AC IV.i;25;Agrippa, Caesar, Maecenas;yes;3;4;1
Antony and Cleopatra;AC IV.ii;26;Alexas, Antony, Charmian, Cleopatra, Enobarbus, Iras;yes;6;4;2
Antony and Cleopatra;AC IV.iii;27;First Soldier, Second Soldier, Third Soldier, Fourth Soldier;no;4;4;3
Antony and Cleopatra;AC IV.iv;28;Antony, Captain, Charmian, Cleopatra, Eros, Soldier;yes;6;4;4
Antony and Cleopatra;AC IV.v;29;Antony, Eros, Soldier;no;3;4;5
Antony and Cleopatra;AC IV.vi;30;Agrippa, Caesar, Dolabella, Enobarbus, Messenger, Soldier;no;6;4;6
Antony and Cleopatra;AC IV.vii;31;Agrippa, Antony, Eros, Scarus;yes;4;4;7
Antony and Cleopatra;AC IV.viii;32;Antony, Cleopatra, Scarus;yes;3;4;8
Antony and Cleopatra;AC IV.ix;33;Enobarbus, First Watch, Second Watch, Sentry;no;4;4;9
Antony and Cleopatra;AC IV.x;34;Antony, Scarus;yes;2;4;10
Antony and Cleopatra;AC IV.xi;35;Caesar;yes;1;4;11
Antony and Cleopatra;AC IV.xii;36;Antony, Cleopatra Scarus;no;3;4;12
Antony and Cleopatra;AC IV.xiii;37;Charmian, Cleopatra, Iras, Mardian;no;4;4;13
Antony and Cleopatra;AC IV.xiv;38;Antony, Decretas, Diomedes, Eros, First Guard, Second Guard, Mardian;yes;7;4;14
Antony and Cleopatra;AC IV.xv;39;Charmian, Cleopatra, Diomedes, Iras;yes;4;4;15
Antony and Cleopatra;AC V.i;40;Agrippa, Caesar, Decretas, Dolabella, Egyptian, Gallus, Maecenas, Proculeius;yes;8;5;1
Antony and Cleopatra;AC V.ii;41;Caesar, Charmian, Cleopatra, Clown, Dolabella, Gallus, First Guard, Second Guard, Guardsman, Iras, Maecenas, Mardian, Proculeius, Seleucus;yes;14;5;2
As You Like It;AYL I.i;1;Adam, Charles, Dennis, Oliver, Orlando;no;5;1;1
As You Like It;AYL I.ii;2;Celia, Duke Frederick, Le Beau, Orlando, Rosalind, Touchstone;no;6;1;2
As You Like It;AYL I.iii;3;Celia, Duke Frederick, Rosalind;yes;3;1;3
As You Like It;AYL II.i;4;Amiens, Duke Senior, First Lord (in Arden), Second Lord (in Arde);yes;4;2;1
As You Like It;AYL II.ii;5;Duke Frederick, First Lord (in court), Second Lord (in court);yes;3;2;2
As You Like It;AYL II.iii;6;Adam, Orlando;no;2;2;3
As You Like It;AYL II.iv;7;Celia, Corin, Rosalind, Silvius, Touchstone;no;5;2;4
As You Like It;AYL II.v;8;Amiens, Jaques;yes;2;2;5
As You Like It;AYL II.vi;9;Adam, Orlando;no;2;2;6
As You Like It;AYL II.vii;10;Adam, Amiens, Duke Senior, First Lord (in Arden), Jaques, Orlando;yes;6;2;7
As You Like It;AYL III.i;11;Duke Frederick, Oliver;yes;2;3;1
As You Like It;AYL III.ii;12;Celia, Corins, Jaques, Orlando, Rosalind, Touchstone;no;6;3;2
As You Like It;AYL III.iii;13;Audrey, Jaques, Sir Oliver, Touchstone;no;4;3;3
As You Like It;AYL III.iv;14;Celia, Corin, Rosalind;no;3;3;4
As You Like It;AYL III.v;15;Celia, Corin, Phebe, Rosalind, Silvius;no;5;3;5
As You Like It;AYL IV.i;16;Celia, Jaques, Orlando, Rosalind;no;4;4;1
As You Like It;AYL IV.ii;17;Jaques, Lord;yes;2;4;2
As You Like It;AYL IV.iii;18;Celia, Oliver, Rosalind, Silvius;no;4;4;3
As You Like It;AYL V.i;19;Audrey, Corin, Touchstone, William;no;4;5;1
As You Like It;AYL V.ii;20;Oliver, Orlando, Phebe, Rosalind, Silvius;no;5;5;2
As You Like It;AYL V.iii;21;Audrey, First Page, Second Page, Touchstone;no;4;5;3
As You Like It;AYL V.iv;22;Amiens, Celia, Duke Senior, Hymen, Jaques, Jaques de Boys, Oliver, Orlando, Phebe, Rosalind, Silvius;no;11;5;4
Coriolanus;Cor I.i;1;Brutus, First Citizen, Second Citizen, Cominius, Coriolanus/Martius, Menenius, Messenger, Sicinius;yes;8;1;1
Coriolanus;Cor I.ii;2;Aufidius, First Senator, Second Senator;yes;3;1;2
Coriolanus;Cor I.iii;3;Gentlewoman, Valeria, Virgilia, Volumnia;no;4;1;3
Coriolanus;Cor I.iv;4;Lartius, Coriolanus/Martius, Messenger, First Senator, First Soldier, Second Soldier;yes;6;1;4
Coriolanus;Cor I.v;5;Lartius, Coriolanus/Martius, First Roman, Second Roman, Third Roman;no;5;1;5
Coriolanus;Cor I.vi;6;Cominius, Coriolanus/Martius, Messenger;yes;3;1;6
Coriolanus;Cor I.vii;7;Lartius, Lieutenant;yes;2;1;7
Coriolanus;Cor I.viii;8;Aufidius, Coriolanus/Martius;yes;2;1;8
Coriolanus;Cor I.ix;9;Cominius, Coriolanus/Martius, Lartius;yes;3;1;9
Coriolanus;Cor I.x;10;Aufidius, First Soldier;yes;2;1;10
Coriolanus;Cor II.i;11;Brutus, Cominius, Coriolanus/Martius, Menenius, Messenger, Sicinius, Valeria, Virgilia, Volumnia;no;9;2;1
Coriolanus;Cor II.ii;12;Brutus, Cominius, Coriolanus/Martius, Menenius, First Officer, Second Officer, First Senator, Sicinius;yes;8;2;2
Coriolanus;Cor II.iii;13;Brutus, First Citizen, Second Citizen, Third Citizen, Fourth Citizen, Fifth Citizen, Sixth Citizen, Seventh Citizen, Coriolanus/Martius, Menenius, Sicinius;yes;11;2;3
Coriolanus;Cor III.i;14;Aedile, Brutus, Cominius, Coriolanus/Martius, Lartius, Menenius, Patrician, First Senator, Second Senator, Sicinius;yes;10;3;1
Coriolanus;Cor III.ii;15;Cominius, Coriolanus/Martius, Menenius, Noble, First Senator, Volumnia;yes;6;3;2
Coriolanus;Cor III.iii;16;Aedile, Brutus, Cominius, Coriolanus/Martius, Menenius, Plebeians, First Senator, Sicinius;yes;8;3;3
Coriolanus;Cor IV.i;17;Cominius, Coriolanus/Martius, Menenius, Virgilia, Volumnia;yes;5;4;1
Coriolanus;Cor IV.ii;18;Aedile, Brutus, Menenius, Sicinius, Virgilia, Volumnia;no;6;4;2
Coriolanus;Cor IV.iii;19;Roman, Volsce;no;2;4;3
Coriolanus;Cor IV.iv;20;Citizen, Coriolanus/Martius;no;2;4;4
Coriolanus;Cor IV.v;21;Aufidius, Coriolanus/Martius, First Servingman, Second Servingman, Third Servingman;no;5;4;5
Coriolanus;Cor IV.vi;22;Aedile, Brutus, First Citizen, Second Citizen, Third Citizen, Cominius, Menenius, Messenger, Second Messenger, Sicinius,;yes;10;4;6
Coriolanus;Cor IV.vii;23;Aufidius, Lieutenant;no;2;4;7
Coriolanus;Cor V.i;24;Brutus, Cominius, Menenius, Sicinius;yes;4;5;1
Coriolanus;Cor V.ii;25;Aufidius, Coriolanus/Martius, Menenius, First Watch, Second Watch;no;5;5;2
Coriolanus;Cor V.iii;26;Aufidius, Boy, Coriolanus/Martius, Valeria, Virgilia, Volumnia;yes;6;5;3
Coriolanus;Cor V.iv;27;Menenius, Messenger, Second Messenger, Sicinius;no;4;5;4
Coriolanus;Cor V.v;28;First Senator, Valeria, Virgilia, Volumnia;yes;4;5;5
Coriolanus;Cor V.vi;29;Aufidius, First Conspirator, Second Conspirator, Third Conspirator, Coriolanus/Martius, First Lord, Second Lord, Third Lord;yes;8;5;6
Cymbeline;Cym I.i;1;First Gentleman, Second Gentleman;no;2;1;1
Cymbeline;Cym I.ii;2;Cymbeline, Innogen, Pisanio, Posthumus, Queen;no;5;1;2
Cymbeline;Cym I.iii;3;Cloten, First Lord, Second Lord;no;3;1;3
Cymbeline;Cym I.iv;4;Innogen, Lady, Pisanio;no;3;1;4
Cymbeline;Cym I.v;5;Frenchman, Iachimo, Philario, Posthumus;yes;4;1;5
Cymbeline;Cym I.vi;6;Cornelius, First Lady, Pisanio, Queen;yes;4;1;6
Cymbeline;Cym I.vii;7;Iachimo, Innogen, Pisanio;no;3;1;7
Cymbeline;Cym II.i;8;Cloten, First Lord, Second Lord;no;3;2;1
Cymbeline;Cym II.ii;9;Iachimo, Innogen, Lady;no;3;2;2
Cymbeline;Cym II.iii;10;Cloten, Cymbeline, Innogen, Lady, First Lord, Second Lord, Messenger, Pisanio, Queen, Song;no;10;2;3
Cymbeline;Cym II.iv;11;Iachimo, Philario, Posthumus;no;3;2;4
Cymbeline;Cym III.i;12;Cloten, Cymbeline, Lucius, Queen;yes;4;3;1
Cymbeline;Cym III.ii;13;Innogen, Pisanio;no;2;3;2
Cymbeline;Cym III.iii;14;Arviragus, Belarius, Guiderius;no;3;3;3
Cymbeline;Cym III.iv;15;Innogen, Pisanio;no;2;3;4
Cymbeline;Cym III.v;16;Attendant, Cloten, Cymbeline, Lucius, Queen;yes;5;3;5
Cymbeline;Cym III.vi;17;Innogen;no;1;3;6
Cymbeline;Cym III.vii;18;Arviragus, Belarius, Guiderius, Innogen;no;4;3;7
Cymbeline;Cym III.viii;19;First Senator, Second Senator, First Tribune;yes;3;3;8
Cymbeline;Cym IV.i;20;Cloten;no;1;4;1
Cymbeline;Cym IV.ii;21;Arviragus, Belarius, Captain, Cloten, Guiderius, Innogen, Lucius, Soothsayer;no;8;4;2
Cymbeline;Cym IV.iii;22;Cymbeline, First Lord, Pisanio;yes;3;4;3
Cymbeline;Cym IV.iv;23;Arviragus, Belarius, Guiderius;no;3;4;4
Cymbeline;Cym V.i;24;Posthumus;no;1;5;1
Cymbeline;Cym V.ii;25;Arviragus, Belarius, Cymbeline, Guiderius, Iachimo, Lucius, Posthumus;yes;7;5;2
Cymbeline;Cym V.iii;26;First Captain, Second Captain, Arviragus, Belarius, Cymbeline, Gaoler, Guiderius, Lord, Pisanio, Posthumus;yes;10;5;3
Cymbeline;Cym V.iv;27;First Brother, Second Brother, First Gaoler, Second Gaoler, Jupiter, Messenger, Mothr, Posthumus, Sicilius;no;9;5;4
Cymbeline;Cym V.v;28;Arviragus, Belarius, Cornelius, Cymbeline, Guiderius, Iachimo, Innogen, Ladies, Lucius, Pisanio, Posthumus, Soothsayer;yes;12;5;5
Hamlet;Ham I.i;1;Barnardo, Francisco, Ghost, Horatio, Marcellus;no;5;1;1
Hamlet;Ham I.ii;2;Barnardo, Cornelius, Hamlet, Horatio, King/Claudius, Laertes, Marcellus, Polonius, Queen/Gertrude, Voltemand;yes;10;1;2
Hamlet;Ham I.iii;3;Laertes, Ophelia, Polonius;no;3;1;3
Hamlet;Ham I.iv;4;Ghost, Hamlet, Horatio, Marcellus;no;4;1;4
Hamlet;Ham I.v;5;Ghost, Hamlet, Horatio, Marcellus;no;4;1;5
Hamlet;Ham II.i;6;Ophelia, Polonius, Reynaldo;no;3;2;1
Hamlet;Ham II.ii;7;Cornelius, First Player, Hamlet, King/Claudius, Queen/Gertrude, Guildenstern, Polonius, Rosencrantz, Voltemand;yes;9;2;2
Hamlet;Ham III.i;8;Hamlet, Guildenstern, King/Claudius, Ophelia, Polonius, Queen/Gertrude, Rosencrantz;no;7;3;1
Hamlet;Ham III.ii;9;First Player, Guildenstern, Hamlet, Horatio, King/Claudius, Ophelia, First Player, Second Player, Third Player, Fourth Player, Polonius,13 Queen/Gertrude, Rosencrantz;yes;13;3;2
Hamlet;Ham III.iii;10;Guildenstern, Hamlet, King/Claudius, Polonius, Rosencrantz;no;5;3;3
Hamlet;Ham III.iv;11;Ghost, Hamlet, Polonius, Queen/Gertrude;no;4;3;4
Hamlet;Ham IV.i;12;Guildenstern, King/Claudius, Queen/Gertrude, Rosencrantz;no;4;4;1
Hamlet;Ham IV.ii;13;Gentlemen, Guildenstern, Hamlet, Rosencrantz;yes;4;4;2
Hamlet;Ham IV.iii;14;Guildenstern, Hamlet, King/Claudius, Rosencrantz;yes;4;4;3
Hamlet;Ham IV.iv;15;Captain, Fortinbras, Guildenstern, Hamlet, Rosencrantz;yes;5;4;4
Hamlet;Ham IV.v;16;Gentleman, Horatio, King/Claudius, Laertes, Messenger, Ophelia, Queen/Gertrude;yes;7;4;5
Hamlet;Ham IV.vi;17;Gentleman, Horatio, Sailor;no;3;4;6
Hamlet;Ham IV.vii;18;King/Claudius, Laertes, Messenger, Queen/Gertrude;no;4;4;7
Hamlet;Ham V.i;19;First Clown, Second Clown, Hamlet, Horatio, King/Claudius, Laertes, Ophelia, Priest, Queen/Gertrude;yes;9;5;1
Hamlet;Ham V.ii;20;Fortinbras, Hamlet, Horatio, King/Claudius, Laertes, Osrick, Queen/Gertrude;yes;7;5;2
Henry IV Part 1;1H4 I.i;1;Blunt, Lancaster, King Henry, Westmorland;yes;4;1;1
Henry IV Part 1;1H4 I.ii;2;Falstaff, Prince Hal, Poins;no;3;1;2
Henry IV Part 1;1H4 I.iii;3;Blunt, Hotspur, King Henry, Northumberland, Westmorland, Worcester;yes;6;1;3
Henry IV Part 1;1H4 II.i;4;First Carrier, Second Carrier, Chamberlain, Gadshill, Ostler;no;5;2;1
Henry IV Part 1;1H4 II.ii;5;Bardolph, Falstaff, Gadshill, Prince Hal, Peto, Poins, First Traveller, Second Traveller;no;7;2;2
Henry IV Part 1;1H4 II.iii;6;Hotspur, Lady Percy, Servant;no;3;2;3
Henry IV Part 1;1H4 II.iv;7;Bardolph, Carrier, Falstaff, Francis, Gadshill, Prince Hal, Hostess, Peto, Poins, Sheriff, Vintner;no;11;2;4
Henry IV Part 1;1H4 III.i;8;Glendower, Hotspur, Lady Percy, Lady Mortimer, Mortimer, Westmorland, Worcester;no;7;3;1
Henry IV Part 1;1H4 III.ii;9;King Henry, Prince Hal;yes;2;3;2
Henry IV Part 1;1H4 III.iii;10;Bardolph, Falstaff, Prince Hal, Hostess;no;4;3;3
Henry IV Part 1;1H4 IV.i;11;Douglas, Hotspur, Messenger, Vernon, Worcester;no;5;4;1
Henry IV Part 1;1H4 IV.ii;12;Bardolph, Falstaff, Prince Hal, Westmorland;no;4;4;2
Henry IV Part 1;1H4 IV.iii;13;Blunt, Douglas, Hotspur, Vernon, Worcester;no;5;4;3
Henry IV Part 1;1H4 IV.iv;14;Archbishop, Sir Michael;no;2;4;4
Henry IV Part 1;1H4 V.i;15;Blunt, Falstaff, King Henry, Prince Hal, Lancaster, Vernon, Worcester;no;7;5;1
Henry IV Part 1;1H4 V.ii;16;Douglas, Hotspur, Messenger, Second Messenger, Vernon, Worcester;no;6;5;2
Henry IV Part 1;1H4 V.iii;17;Blunt, Douglas, Falstaff, Prince Hal, King Henry, Hotspur;yes;6;5;3
Henry IV Part 1;1H4 V.iv;18;Douglas, Falstaff, King Henry, Prince Hal, Hotspur, Lancaster, Westmorland;no;7;5;4
Henry IV Part 1;1H4 V.v;19;King Henry, Prince Hal, Lancaster, Westmorland, Vernon, Worcester;no;6;5;5
Henry IV Part 2;2H4 I.i;1;Lord Bardolph, Morton, Northumberland, Porter, Travers;no;5;1;1
Henry IV Part 2;2H4 I.ii;2;Falstaff, Lord Chief Justice, Page, Servant;no;4;1;2
