play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Henry VI Part 1;1H6 III.i;25;Exeter, Gloucester, King, Mayor, Richard, First Servingman, Second Servingman, Third Servingman, Somserset, Suffolk, Warwick, Winchester,;yes;12
Henry VI Part 1;1H6 III.ii;26;Alencon, Bastard, Bedford, Burgundy, Captain, Charles, Falstaff [soldier], Pucelle, Reignier, First Soldier, Talbot, Watch;yes;12
Henry VI Part 1;1H6 IV.i;27;Basset, Exeter, Falstaff [soldier], Gloucester, Governor, King, Richard, Somerset, Suffolk, Talbot, Vernon, Warwick, Winchester;yes;13
Henry VI Part 2;2H6 IV.iii;1;Cade, Dick;yes;2
Henry VI Part 2;2H6 IV.v;2;First Citizen, Scales;no;2
Henry VI Part 2;2H6 IV.x;3;Cade, Iden;no;2
Henry VI Part 2;2H6 II.ii;4;Salisbury, Warwick, York;no;3
Henry VI Part 2;2H6 IV.viii;5;Buckingham, Cade, Clifford;yes;3
Henry VI Part 2;2H6 V.iii;6;Richard, Salisbury, Warwick, York;yes;3
Henry VI Part 2;2H6 I.ii;7;Duchess, Gloucester, Hume, Messenger;no;4
Henry VI Part 2;2H6 III.iii;8;Cardinal, King, Salisbury, Warwick;no;4
Henry VI Part 2;2H6 IV.vi;9;Cade, Dick, Smith, Soldier;yes;4
Henry VI Part 2;2H6 II.iv;10;Duchess, Gloucester, Herald, Servant, Sheriff, Stanley;yes;6
Henry VI Part 2;2H6 IV.iv;11;Buckingham, King, First Messenger, Second Messenger, Queen, Say;yes;6
Henry VI Part 2;2H6 IV.ix;12;Buckingham, Clifford, King, Messenger, Queen, Somerset;yes;6
Henry VI Part 2;2H6 IV.i;13;First Gentleman, Second Gentleman, Lieutenant, Master, Mate, Suffolk, Whitmore;yes;7
Henry VI Part 2;2H6 IV.vii;14;Bevis, Cade, Dick, Holland, Say, Smith, Messenger;yes;7
Henry VI Part 2;2H6 V.ii;15;Clifford, Young Clifford, King, Queen, Richard, Somerset, Warwick, York;yes;8
Henry VI Part 2;2H6 IV.ii;16;Bevis, Brother, Cade, Clerk, Dick, Holland, Michael, Smith, Stafford;yes;9
Henry VI Part 2;2H6 I.i;17;Buckingham, Cardinal, Gloucester, King, Queen, Salisbury, Somerset, Suffolk, Warwick, York;no;10
Henry VI Part 2;2H6 I.iv;18;Bolingbroke, Buckingham, Duchess, Hume, Jourdain, Servingman, Southwell, Spirit, Stafford, York;no;10
Henry VI Part 2;2H6 II.i;19;Beadle, Buckingham, Cardinal, Gloucester, King, Man, Mayor, Queen, Simpcox, Suffolk, Wife;yes;11
Henry VI Part 2;2H6 III.i;20;Buckingham, Cardinal, Gloucester, King, Post, Queen, Salisbury, Somerset, Suffolk, Warwick, York;no;11
Henry VI Part 2;2H6 III.ii;21;Cardinal, Commons, Gloucester, King, Queen, First Murderer, Second Murderer, Salisbury, Somerset, Suffolk, Vaux, Warwick;yes;12
Henry VI Part 2;2H6 V.i;22;Attendant, Second Attendant, Buckingham, Clifford, Young Clifford, Edward, Iden, King, Queen, Richard, Salisbury, Somerset, Clifford, Young Clifford, King, Queen, Richard, Somerset, Warwick, York;yes;14
Henry VI Part 2;2H6 I.iii;23;Buckingham, Cardinal, Duchess, Gloucester, Horner, King, Peter, First Petitioner, Second Petitioner, Queen, Salisbury, Servant, Somerset, Suffolk, Warwick, York;yes;16
Henry VI Part 2;2H6 II.iii;24;Bolingbroke, Duchess, Gloucester, Horner, Hume, Jourdain, King, First Neighbour, Second Neighbour, Third Neighbour, Peter, First Prentice, Second Prentice, Queen, Salisbury, Southwell, Suffolk, York;yes;18
Henry VI Part 3;3H6 IV.iv;1;Lady Grey, Rivers;no;2
Henry VI Part 3;3H6 I.iii;2;Clifford, Rutland, Tutor;yes;3
Henry VI Part 3;3H6 II.iv;3;Clifford, Richard, Warwick;yes;3
Henry VI Part 3;3H6 III.i;4;First Keeper, Second Keeper, King;no;3
Henry VI Part 3;3H6 V.iii;5;Edward, George, Richard;yes;3
Henry VI Part 3;3H6 V.vi;6;King, Lieutenant, Richard;no;3
Henry VI Part 3;3H6 II.iii;7;Edward, George, Richard, Warwick;no;4
Henry VI Part 3;3H6 IV.ii;8;George, Oxford, Somerset, Warwick;yes;4
Henry VI Part 3;3H6 V.ii;9;Edward, Oxford, Somerset, Warwick;no;4
Henry VI Part 3;3H6 I.iv;10;Clifford, Northumberland, Prince, Queen, York;yes;5
Henry VI Part 3;3H6 II.i;11;Edward, Messenger, Montague, Richard, Warwick;yes;5
Henry VI Part 3;3H6 III.ii;12;Edward, George, Lady Grey, Nobleman, Richard,;no;5
Henry VI Part 3;3H6 IV.v;13;Edward, Hastings, Huntsman, Richard, Stanley;no;5
Henry VI Part 3;3H6 II.v;14;Exeter, Father, King, Prince, Queen, Son;no;6
Henry VI Part 3;3H6 II.vi;15;Clifford, Edward, George, Montague, Richard, Warwick;yes;6
Henry VI Part 3;3H6 IV.vii;16;Edward, Hastings, Mayor, Montgomery, Richard, Soldier;yes;6
Henry VI Part 3;3H6 V.vii;17;Edward, George, Hastings, Lady Grey, Nurse, Richard;yes;6
Henry VI Part 3;3H6 I.ii;18;Edward, Sir Hugh, Sir John, Richard, Messenger, Montague, York;no;7
Henry VI Part 3;3H6 V.v;19;Edward, George, Oxford, Prince, Queen, Richard, Somerset;yes;7
Henry VI Part 3;3H6 III.iii;20;Bona, Bourbon, Lewis, Oxford, Post, Prince, Queen, Warwick;no;8
Henry VI Part 3;3H6 IV.viii;21;Edward, Exeter, George, King, Montague, Oxford, Richard, Warwick;yes;8
Henry VI Part 3;3H6 V.iv;22;Edward, George, Messenger, Oxford, Prince, Queen, Richard, Somerset;yes;8
Henry VI Part 3;3H6 IV.vi;23;George, King, Lieutenant, Montague, Oxford, Post, Richmond, Somerset, Warwick;no;9
Henry VI Part 3;3H6 IV.i;24;Edward, George, Lady Grey, Hastinigs, Montague, Pembroke, Post, Richard, Somerset, Stafford;yes;10
Henry VI Part 3;3H6 IV.iii;25;Edward, George, Hastinigs, Oxford, Richard, Somerset, Warwick, First Watchman, Second Watchman, Third Watchman,;yes;10
Henry VI Part 3;3H6 V.i;26;Edward, George, Mayor, First Messenger, Second Messenger, Montague, Oxford, Richard, Somerset, Somerville, Warwick;yes;11
Henry VI Part 3;3H6 II.ii;27;Clifford, Edward, George, King, Messenger, Montague, Norfolk, Northumberland, Prince, Queen, Richard, Warwick;yes;12
Henry VI Part 3;3H6 I.i;28;Clifford, Edward, Exeter, King, Richard, Montague, Norfolk, Northumberland, Prince, Queen, Warwick, Westmorland, York;yes;13
Henry VIII;H8 Prologue;1;Speaker;no;1
Henry VIII;H8 II.iii;2;Anne, Old Lady;no;2
Henry VIII;H8 I.iii;3;Lord Chamberlain, Lovell, Sands;no;3
Henry VIII;H8 IV.i;4;First Gentleman, Second Gentleman, Third Gentleman,;yes;3
Henry VIII;H8 V.v;5;Cranmer, Garter, King Henry;yes;3
Henry VIII;H8 V.ii;6;Butts, Cranmer, Keeper, King Henry;no;4
Henry VIII;H8 V.iv;7;Lord Chamberlain, Man, Porter, Servant;no;4
Henry VIII;H8 II.i;8;Buckingham, First Gentleman, Second Gentleman, Lovell, Vaux;yes;5
Henry VIII;H8 III.i;9;Campeius, Gentleman, Gentlewoman, Queen Katherine, Wolsey;no;5
Henry VIII;H8 IV.ii;10;Capuchius, Griffith, Queen Katherine, Messenger, Patience;yes;5
Henry VIII;H8 I.i;11;Abergavenny, Brandon, Buckingham, Norfolk, Secretary, Sergeant, Wolsey;yes;7
Henry VIII;H8 II.ii;12;Campeius, Gardiner, King Henry, Lord Chamberlain, Norfolk, Suffolk, Wolsey;no;7
Henry VIII;H8 I.iv;13;Anne, Guilford, King Henry, Lord Chamberlain, Lovell, Sands, Servant, Wolsey;yes;8
Henry VIII;H8 II.iv;14;Campeius, Crier, Griffith, King Henry, Queen Katherine, Lincoln, Scribe, Wolsey;yes;8
Henry VIII;H8 III.ii;15;Cromwell, King Henry, Lord Chamberlain, Lovell, Norfolk, Suffolk, Surrey, Wolsey;no;8
Henry VIII;H8 I.ii;16;Cardinal, King Henry, Lovell, Norfolk, Queen Katherine, Secretary, Suffolk, Surveyor, Wolsey;yes;9
Henry VIII;H8 V.i;17;Cranmer, Denny, Gardiner, Gentleman, King Henry, Lovell, Old Lady, Page, Suffolk;no;9
Henry VIII;H8 V.iii;18;Cranmer, Cromwell, Gardiner, Guard, Keeper, King Henry, Lord Chancellor, Norfolk, Suffolk, Surrey;yes;10
Julius Caesar;JC II.iii;1;Artemidorus;no;1
Julius Caesar;JC V.ii;2;Brutus, Messala;no;2
Julius Caesar;JC II.iv;3;Lucius, Portia, Soothsayer;no;3
Julius Caesar;JC IV.i;4;Antony, Lepidus, Octavius;no;3
Julius Caesar;JC I.i;5;Carpenter, Cobbler, Flavius, Marullus;yes;4
Julius Caesar;JC I.iii;6;Casca, Cassius, Cicero, Cinna;no;4
Julius Caesar;JC III.iii;7;Cinna [poet], First Plebeian, Second Plebeian, Third Plebeian, Fourth Plebeian,;yes;5
Julius Caesar;JC V.i;8;Antony, Brutus, Cassius, Lucilius, Messala, Messenger, Octavius, Titinius;yes;8
Julius Caesar;JC V.iv;9;Antony, Brutus, Cato, Flavius, Lucilius, Messala, First Soldier, Second Soldier;yes;8
Julius Caesar;JC III.ii;10;Antony, Brutus, Cassius, First Plebeian, Second Plebeian, Third Plebeian, Fourth Plebeian, Servant;yes;9
Julius Caesar;JC IV.ii;11;Brutus, Cassius, Lucilius, Lucius, Pindarus, First Soldier, Second Soldier, Third Soldier, Titinius;yes;9
Julius Caesar;JC V.v;12;Antony, Brutus, Clitus, Dardanius, Lucilius, Messala, Octavius, Strato, Volumnius;yes;9
Julius Caesar;JC II.i;13;Brutus, Lucius, Casca, Cassius, Cinna, Decius, Ligarius, Metellus Cimber, Portia, Trebonius;no;10
Julius Caesar;JC IV.iii;14;Brutus, Cassius, Claudius, Ghost, Lucilius, Lucius, Messala, Poet, Titinius, Varro;no;10
Julius Caesar;JC V.iii;15;Brutus, Cassius, Cato, Flavius, Labeo, Lucilius, Messala, Pindarus, Strato, Titinius, Volumnius;no;11
Julius Caesar;JC I.ii;16;Antony, Brutus, Caesar, Calphurnia, Casca, Cassius, Cicero, Decius, Flavius, Marullus, Portia, Soothsayer;yes;12
Julius Caesar;JC II.ii;17;Antony, Brutus, Caesar, Calphurnia, Casca, Cinna, Decius, Ligarius, Metellus Cimber, Publius, Servant, Trebonius;no;12
Julius Caesar;JC III.i;18;Antony, Artemidorus, Brutus, Caesar, Casca, Cassius, Cinna, Decius, Lepidus, Metellus Cimber, Popilius, Publius, Servant, Soothsayer, Trebonius;yes;15
King John;KJ V.v;1;Lewis the Dauphin, Messenger;yes;2
King John;KJ V.vi;2;Bastard, Hubert;no;2
King John;KJ IV.i;3;Arthur, Executioner, Hubert;no;3
King John;KJ V.i;4;Bastard, Cardinal Pandulph, King John;yes;3
King John;KJ V.iII;5;Hubert, King John, Messenger;no;3
King John;KJ III.ii;6;Arthur, Bastard, Hubert, King John;no;4
King John;KJ V.iv;7;Bigot, Melun, Pembroke, Salisbury;no;4
King John;KJ III.iii;8;Arthur, Bastard, Hubert, King John, Queen Eleanor;yes;5
King John;KJ III.iv;9;Cardinal Pandulph, Constance, King Philip, Lewis the Dauphin;yes;5
King John;KJ IV.iII;10;Arthur, Bastard, Bigot, Hubert, Pembroke, Salisbury;no;6
King John;KJ V.vii;11;Bastard, Bigot, King John, Prince Henry, Pembroke, Salisbury;yes;6
King John;KJ IV.iI;12;Bastard, Hubert, King John, Messenger, Pembroke, Peter, Salisbury;yes;7
King John;KJ V.iI;13;Bastard, Bigot, Cardinal Pandulph, Lewis the Dauphin, Melun, Pembroke, Salisbury;yes;7
King John;KJ I.i;14;Bastard, Chatelon, Essex, Gurney, King John, Faulconbridge, Pembroke, Queen Eleanor, Robert Faulconbridge, Salisbury, Sheriff;no;11
King John;KJ III.i;15;Arthur, Austria, Bastard, Blanche, Cardinal Pandulph, Constance, King John, King Philip, Queen Eleanor, Lewis the Dauphin, Salisbury;yes;11
King John;KJ II.i;16;Arthur, Austria, Bastard, Blanche, Chatillon, Constance, English Herald, French Herald, Hubert, King John, King Philip, Lewis the Dauphin, Queen Eleanor;yes;13
King Lear;KL II.iii;1;Edgar;no;1
King Lear;KL I.iii;2;Gonerill, Oswald;no;2
King Lear;KL III.i;3;Gentleman, Kent;no;2
King Lear;KL III.iii;4;Edmund, Gloucester;no;2
King Lear;KL III.v;5;Cornwall, Edmund;no;2
King Lear;KL IV.iii;6;Gentleman, Kent;no;2
King Lear;KL IV.v;7;Oswald, Regan;no;2
King Lear;KL I.ii;8;Edgar, Edmund, Gloucester;no;3
King Lear;KL III.ii;9;Fool, Kent, Lear;no;3
King Lear;KL IV.i;10;Edgar, Gloucester, Old Man;no;3
King Lear;KL IV.iv;11;Cordelia, Doctor, Messenger;yes;3
King Lear;KL I.v;12;Fool, Kent, Knight, Lear;no;4
King Lear;KL IV.vii;13;Cordelia, Doctor, Gentleman, Kent;no;4
King Lear;KL V.ii;14;Cordelia, Edgar, Gloucester, Lear;yes;4
King Lear;KL III.iv;15;Edgar, Fool, Gloucester, Kent, Lear;no;5
King Lear;KL III.vi;16;Edgar, Fool, Gloucester, Kent, Lear;no;5
King Lear;KL IV.ii;17;Albany, Edmund, Gonerill, Messenger, Oswald;no;5
King Lear;KL IV.vi;18;Edgar, Gentleman, Gloucester, Lear, Oswald;yes;5
King Lear;KL II.i;19;Cornwall, Curan, Edgar, Edmund, Gloucester, Regan;yes;6
King Lear;KL II.ii;20;Cornwall, Edmund, Gloucester, Kent, Oswald, Regan;yes;6
King Lear;KL V.i;21;Albany, Edgar, Edmund, Gentleman, Gonerill, Regan;yes;6
King Lear;KL I.iv;22;Albany, Fool, Gonerill, Kent, First Knight, Second Knight, Third Knight, Lear, Oswald;no;9
King Lear;KL II.iv;23;Cornwall, Fool, Gentleman, Gloucester, Gonerill, Kent, Lear, Oswald, Regan;no;9
King Lear;KL III.vii;24;Cornwall, Edmund, Gloucester, Gonerill, Oswald, Regan, First Servant, Second Servant, Third Servant;yes;9
King Lear;KL I.i;25;Albany, Burgundy, Cordelia, Cornwall, Edmund, France, Gloucester, Gonerill, Kent, Lear, Regan;yes;11
King Lear;KL V.iii;26;Albany, Captain, Cordelia, Edgar, Edmund, Gentleman, Gloucester, Gonerill, Herald, Kent, Lear, Messenger, First Officer, Second Officer, Regan;yes;15
Love's Labour's Lost;LLL III.i;1;Armado, Berowne, Costard, Mote;no;4
Love's Labour's Lost;LLL IV.ii;2;Dull, Holofernes, Jaquenetta, Nathaniel;no;4
Love's Labour's Lost;LLL I.ii;3;Armado, Costard, Dull, Jaquenetta, Mote;no;5
Love's Labour's Lost;LLL I.i;4;Berowne, Costard, Dull, Dumaine, King, Longaville;no;6
Love's Labour's Lost;LLL IV.iii;5;Berowne, Costard, Dumaine, Jaquenetta, King, Longaville,;no;6
Love's Labour's Lost;LLL V.i;6;Armado, Costard, Dull, Holofernes, Mote, Nathaniel;no;6
Love's Labour's Lost;LLL IV.i;7;Boyet, Costard, First Lord, Forester, Katharine, Maria, Princess, Rosaline;no;8
Love's Labour's Lost;LLL II.i;8;Berowne, Boyet, Dumaine, First Lord, Katharine, King, Longaville, Maria, Princess, Rosaline;yes;10
Love's Labour's Lost;LLL V.ii;9;Armado, Berowne, Boyet, Costard, Dumaine, Hiems, Holofernes, Katharine, King, Longaville, Marcade, Maria, Mote, Nathaniel, Princess, Rosaline, Ver;no;17
Macbeth;Mac II.ii;1;Lady, Macbeth;no;2
Macbeth;Mac III.vi;2;Lennox, Lord;no;2
Macbeth;Mac I.i;3;First Witch, Second Witch, Third Witch;no;3
Macbeth;Mac I.v;4;Lady, Macbeth, Messenger;no;3
Macbeth;Mac II.iv;5;Macduff, Old Man, Ross;no;3
Macbeth;Mac III.ii;6;Lady, Macbeth, Servant;no;3
Macbeth;Mac IV.iii;7;Macduff, Malcolm, Ross;no;3
Macbeth;Mac V.i;8;Doctor, Gentlewoman, Lady;no;3
Macbeth;Mac V.v;9;Macbeth, Messenger, Seyton;yes;3
Macbeth;Mac I.vii;10;Lady, Macbeth, Sewer, Servant;yes;4
Macbeth;Mac II.i;11;Banquo, Fleance, Macbeth, Servant;no;4
Macbeth;Mac III.v;12;Hecat, First Witch, Second Witch, Third Witch;no;4
Macbeth;Mac V.ii;13;Angus, Cathness, Lennox, Menteth;yes;4
Macbeth;Mac V.iii;14;Doctor, Macbeth, Servant, Seyton;yes;4
Macbeth;Mac III.iii;15;Banquo, Fleance, First Murderer, Second Murderer, Third Murderer,;no;5
Macbeth;Mac IV.ii;16;Messenger, Murderer, Ross, Son, Wife;yes;5
Macbeth;Mac III.iv;17;Ghost, Lady, Lennox, Macbeth, First Murderer, Ross;yes;6
Macbeth;Mac V.vi;18;Macbeth, Macduff, Malcolm, Ross, Seyward, Young Seyward;yes;6
Macbeth;Mac I.ii;19;Angus, Captain, Donalbaine, Duncan, Lennox, Malcolm, Ross;yes;7
Macbeth;Mac I.iii;20;Angus, Banquo, First Witch, Second Witch, Third Witch, Macbeth, Ross;no;7
Macbeth;Mac I.iv;21;Angus, Banquo, Donalbaine, Duncan, Lennox, Macbeth, Malcolm, Ross;yes;8
Macbeth;Mac III.i;22;Banquo, Lady, Lennox, Macbeth, First Murderer, Second Murderer, Ross, Servant;yes;8
Macbeth;Mac IV.i;23;First Apparition, Second Apparition, Third Apparition, Lennox, Macbeth, First Witch, Second Witch, Third Witch;yes;8
Macbeth;Mac V.iv;24;Angus, Cathness, Macduff, Malcolm, Menteth, Seyward, Soldier, Young Seyward;yes;8
Macbeth;Mac I.vi;25;Angus, Banquo, Donalbaine, Duncan,Lady, Lennox, Macduff, Malcolm, Ross;yes;9
Macbeth;Mac II.iii;26;Banquo, Donalbaine, Lady, Lennox, Macbeth, Macduff, Malcolm, Porter, Ross;no;9
Measure for Measure;MM I.iii;1;Duke, Friar Thomas;no;2
Measure for Measure;MM IV.iv;2;Angelo, Escalus;no;2
Measure for Measure;MM I.iv;3;Francisca, Isabella, Lucio;no;3
Measure for Measure;MM II.iii;4;Duke, Juliet, Provost;no;3
Measure for Measure;MM II.iv;5;Angelo, Isabella, Servant;no;3
Measure for Measure;MM IV.v;6;Duke, Friar Peter, Varrius;no;3
Measure for Measure;MM IV.vi;7;Friar Peter, Isabella, Mariana;no;3
Measure for Measure;MM I.i;8;Angelo, Attendant, Duke, Escalus;yes;4
Measure for Measure;MM III.i;9;Claudio, Duke, Isabella, Provost;no;4
Measure for Measure;MM II.ii;10;Angelo, Isabella, Lucio, Provost, Servant;no;5
Measure for Measure;MM IV.i;11;Boy, Duke, Friar, Isabella, Mariana;no;5
Measure for Measure;MM IV.ii;12;Abhorson, Claudio, Duke, Messenger, Pompey, Provost;no;6
Measure for Measure;MM IV.iii;13;Abhorson, Barnardine, Duke, Isabella, Lucio, Pompey;no;6
Measure for Measure;MM II.i;14;Angelo, Elbow, Escalus, Froth, Justice, Officer, Pompey, Provost;yes;8
Measure for Measure;MM III.ii;15;Duke, Elbow, Escalus, Lucio, Officer, Mistress Overdone, Pompey, Provost;yes;8
Measure for Measure;MM I.ii;16;Claudio, First Gentleman, Second Gentleman, Juliet, Lucio, Officer, Mistress Overdone, Pompey, Provost;yes;9
Measure for Measure;MM V.i;17;Angelo, Barnardine, Claudio, Duke, Escalus, Friar Peter, Isabella, Juliet, Lucio, Mariana, Provost, Varrius;yes;12
Much Ado About Nothing;MA II.ii;1;Borachio, Don John;no;2
Much Ado About Nothing;MA I.ii;2;Antonio, Balthasar, Leonato;yes;3
Much Ado About Nothing;MA I.iii;3;Borachio, Conrade, Don John;no;3
Much Ado About Nothing;MA III.i;4;Beatrice, Hero, Margaret, Ursula;no;4
Much Ado About Nothing;MA III.iv;5;Beatrice, Hero, Margaret, Ursula;no;4
Much Ado About Nothing;MA III.v;6;Dogberry, Leonato, Messenger, Verges;no;4
Much Ado About Nothing;MA V.ii;7;Beatrice, Benedick, Margaret, Ursula;no;4
Much Ado About Nothing;MA V.iii;8;Balthasar, Claudio, Lord, Don Pedro;yes;4
Much Ado About Nothing;MA III.ii;9;Benedick, Claudio, Don John, Don Pedro, Leonato;no;5
Much Ado About Nothing;MA III.iii;10;Borachio, Conrade, Dogberry, Verges, First Watchman, Second Watchman;no;6
Much Ado About Nothing;MA II.iii;11;Balthasar, Beatrice, Benedick, Boy, Claudio, Don Pedro, Leonato;no;7
Much Ado About Nothing;MA IV.ii;12;Borachio, Conrade, Dogberry, Sexton, Verges, First Watchman, Second Watchman;no;7
Much Ado About Nothing;MA IV.i;13;Beatrice, Benedick, Claudio, Don John, Don Pedro, Friar Francis, Hero, Leonato;yes;8
Much Ado About Nothing;MA I.i;14;Balthasar, Beatrice, Benedick, Claudio, Don John, Don Pedro, Hero, Leonato, Messenger;no;9
Much Ado About Nothing;MA V.iv;15;Antonio, Beatrice, Benedick, Claudio, Don Pedro, Friar Francis, Hero, Leonato, Margaret, Messenger, Ursula;yes;11
Much Ado About Nothing;MA II.i;16;Antonio, Balthasar, Beatrice, Benedick, Borachio, Claudio, Don John, Don Pedro, Hero, Leonato, Margaret, Ursula;yes;12
Much Ado About Nothing;MA V.i;17;Antonio, Benedick, Borachio, Claudio, Conrade, Dogberry, Don Pedro, Leonato, Sexton, Verges, First Watchman, Second Watchman;no;12
Othello;Oth II.ii;1;Herald;no;1
Othello;Oth I.i;2;Brabantio, Iago, Roderigo;yes;3
Othello;Oth III.ii;3;Gentleman, Iago, Othello;yes;3
Othello;Oth IV.iii;4;Desdemona, Emilia, Lodovico, Othello;yes;4
Othello;Oth III.i;5;Cassio, Clown, Emilia, Iago, First Musician;yes;5
Othello;Oth III.iii;6;Cassio, Desdemona, Emilia, Iago, Othello;no;5
Othello;Oth IV.ii;7;Desdemona, Emilia, Iago, Othello, Roderigo;no;5
Othello;Oth I.ii;8;Brabantio, Cassio, Iago, First Officer, Othello, Roderigo;yes;6
Othello;Oth III.iv;9;Bianca, Cassio, Clown, Desdemona, Emilia, Othello;no;6
Othello;Oth IV.i;10;Bianca, Cassio, Desdemona, Iago, Lodovico, Othello;yes;6
Othello;Oth II.iii;11;Cassio, Desdemona, Gentlemen, Iago, Montano, Othello, Roderigo;yes;7
Othello;Oth V.i;12;Bianca, Cassio, Emilia, Gratiano, Iago, Lodovico, Othello, Roderigo;no;8
Othello;Oth V.ii;13;Cassio, Desdemona, Emilia, Gratiano, Iago, Lodovico, Montano, Othello;no;8
Othello;Oth I.iii;14;Brabantio, Desdemona, Duke, Iago, Messenger, Othello, Roderigo, Sailor, First Senator;yes;9
Othello;Oth II.i;15;Cassio, Desdemona, Emilia, First Gentleman, Second Gentleman, Third Gentleman, Fourth Gentleman, Iago, Montano, Othello, Roderigo;yes;11
Pericles;Per Chorus.I;1;Gower;no;1
Pericles;Per Chorus.II;2;Gower;no;1
Pericles;Per Chorus.III;3;Gower;no;1
Pericles;Per Chorus.IV;4;Gower;no;1
Pericles;Per IV.iv;5;Gower;no;1
Pericles;Per Chorus.V;6;Gower;no;1
Pericles;Per V.iI;7;Gower;no;1
Pericles;Per Epilogue;8;Gower;no;1
Pericles;Per III.iv;9;Cerimon, Thaisa;no;2
Pericles;Per IV.iii;10;Cleon, Dionyza;no;2
Pericles;Per IV.v;11;First Gentleman, Second Gentleman;no;2
Pericles;Per I.iii;12;Escanes, Helicanus, Thaliard;yes;3
Pericles;Per I.i;13;Antiochus, Messenger, Pericles, Thaliard;yes;4
Pericles;Per I.ii;14;Helicanus, First Lord, Second Lord, Pericles;yes;4
Pericles;Per II.i;15;First Fisherman, Second Fisherman, Third Fisherman, Pericles;no;4
Pericles;Per III.iii;16;Cleon, Dionyza, Lychorida, Pericles;no;4
Pericles;Per I.iv;17;Cleon, Dionyza, Lord, Pericles;yes;4
Pericles;Per II.iv;18;Escanes, Helicanus, First Lord, Second Lord, Third Lord;no;5
Pericles;Per III.i;19;Lychorida, Pericles, First Sailor, Second Sailor, Thaisa;no;5
Pericles;Per IV.ii;20;Bawd, Boult, First Pirate, Marina, Pandar;yes;5
Pericles;Per IV.vi;21;Bawd, Boult, Lysimachus, Marina, Pandar;no;5
Pericles;Per V.iII;22;Cerimon, Helicanus, Marina, Pericles, Thaisa;yes;5
Pericles;Per IV.i;23;Dionyza, Leonine, Marina, First Pirate, Second Pirate, Third Pirate;no;6
Pericles;Per III.ii;24;Cerimon, First Gentleman, Second Gentleman, Philemon, First Servant, Second Servant, Thaisa;no;7
Pericles;Per II.v;25;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Pericles, Simonides, Thaisa;no;8
Pericles;Per II.iii;26;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Marshal, Pericles, Simonides, Thaisa;yes;9
Pericles;Per V.i;27;Diana, First Gentleman, Helicanus, Lord, Lysimachus, Marina, Pericles, Sailor of Mytilene, Sailor of Tyre;yes;9
Pericles;Per II.ii;28;First Knight, Second Knight, Third Knight, Fourth Knight, Fifth Knight, Sixth Knight, First Lord, Second Lord, Third Lord, Simonides, Thaisa;yes;11
Richard II;R2 I.ii;1;John of Gaunt, Duchess of Gloucester;no;2
Richard II;R2 II.iv;2;Captain, Salisbury;no;2
Richard II;R2 V.iv;3;Exton, Man;no;2
Richard II;R2 V.i;4;Queen Isabel, Northumberland, Richard;yes;3
Richard II;R2 V.ii;5;Aumerle, York, Duchess of York;no;3
Richard II;R2 I.iv;6;Aumerle, Bagot, Bushy, Green, King Richard;no;5
Richard II;R2 III.i;7;Bolingbroke, Bushy, Green, Northumberland, York;no;5
Richard II;R2 III.ii;8;Aumerle, Bishop of Carlisle, King Richard, Salisbury, Scroop;yes;5
Richard II;R2 V.iii;9;Aumerle, King Henry, Percy, York, Duchess of York;yes;5
Richard II;R2 I.i;10;Attendant, Bolingbroke, John of Gaunt, Lord Marshal, Mowbray, King Richard;yes;6
Richard II;R2 II.ii;11;Bagot, Bushy, Green, Queen Isabel, Servingman, York;no;6
Richard II;R2 III.iv;12;Gardener, Queen Isabel, First Lady, Second Lady, First Man, Second Man;no;6
Richard II;R2 V.v;13;Exton, Groom, Keeper, Richard, Servant 1, Servant 2;no;6
