play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Richard II;R2 II.iii;14;Berkeley, Bolingbroke, Northumberland, Percy, Ross, Willoughby, York;no;7
Richard II;R2 V.vi;15;Bishop of Carlisle, Exton, Fitzwater, King Henry, Northumberland, Percy, York,;yes;7
Richard II;R2 III.iii;16;Bolingbroke, Bishop of Carlisle, Northumberland, Percy, King Richard, Salisbury, Scroop, York;yes;8
Richard II;R2 I.iii;17;Aumerle, Bagot, Bolingbroke, Bushy, John of Gaunt, Green, First Herald, Second Herald, Lord Marshal, Mowbray, King Richard;yes;11
Richard II;R2 II.i;18;Aumerle, Bagot, Bushy, John of Gaunt, Green, Queen Isabel, Northumberland, King Richard, Ross, Willoughby, York;yes;11
Richard II;R2 IV.i;19;Abbot of Westminster, Attendant, Aumerle, Bagot, Bolingbroke, Bishop of Carlisle, Fitzwater, Herald, Lord 1, Lord 2, Northumberland, Percy, Richard, Surrey, York;yes;15
Richard III;R3 III.vi;1;Scrivener;no;1
Richard III;R3 IV.v;2;Derby, Urswick;no;2
Richard III;R3 V.i;3;Buckingham, Sheriff;yes;2
Richard III;R3 V.iv;4;Catesby, King Richard;no;2
Richard III;R3 II.iii;5;First Citizen, Second Citizen, Third Citizen;no;3
Richard III;R3 IV.iii;6;Ratcliffe, King Richard, Tyrrel;no;3
Richard III;R3 V.v;7;Derby, King Richard, Richmond;yes;3
Richard III;R3 I.i;8;Brakenbury, Clarence, Hastings, Richard;no;4
Richard III;R3 I.ii;9;Anne, Berkeley, Richard, Tressel;yes;4
Richard III;R3 I.iv;10;Clarence, Keeper, First Murderer, Second Murderer;no;4
Richard III;R3 III.iii;11;Grey, Ratcliffe, Rivers, Vaughan;no;4
Richard III;R3 V.ii;12;Blunt, Herbert, Oxford, Richmond;yes;4
Richard III;R3 II.iv;13;Archbishop, Queen Elizabeth, Messenger, York, Duchess of York;no;5
Richard III;R3 III.v;14;Buckingham, Catesby, Lord Mayor, Lovel, Ratcliffe, Richard;no;6
Richard III;R3 III.vii;15;Bishop 1, Bishop 2, Buckingham, Catesby, Lord Mayor, Richard;yes;6
Richard III;R3 IV.ii;16;Buckingham, Catesby, Derby, Page, King Richard, Tyrrel;no;6
Richard III;R3 III.ii;17;Buckingham, Catesby, Derby, Hastings, Hastings (Pursuivant), Messenger, Priest;no;7
Richard III;R3 IV.i;18;Anne, Brakenbury, Derby, Dorset, Queen Elizabeth, Lady Margaret, Duchess of York;no;7
Richard III;R3 III.i;19;Buckingham, Cardinal Bourchier, Catesby, Prince Edward, Hastings, Lord Mayor, Richard, York;yes;8
Richard III;R3 III.iv;20;Bishop of Ely, Buckingham, Derby, Hastings, Lovel, Norfolk, Ratcliffe, Richard;yes;8
Richard III;R3 I.iii;21;Buckingham, Catesby, Derby, Dorset, Queen Elizabeth, Grey, Hastings, Queen Margaret, First Murderer, Second Murderer, Rivers;no;11
Richard III;R3 II.i;22;Buckingham, Catesby, Derby, Dorset, King Edward, Grey, Hastings, Queen, Ratcliffe, Richard, Rivers;yes;11
Richard III;R3 II.ii;23;Boy, Buckingham, Derby, Dorset, Queen Elizabeth, Girl, Duchess of York, Hastings, Ratcliffe, Richard, Rivers;no;11
Richard III;R3 IV.iv;24;Catesby, Derby, Queen Elizabeth, Queen Margaret, First Messenger, Second Messenger, Third Messenger, Fourth Messenger, Ratcliffe, King Richard, Duchess of York;no;12
Richard III;R3 V.iii;25;Blunt, Brandon, Catesby, Derby, Dorset, Ghost (Anne), Ghost (Buckingham), Ghost (Clarence), Ghost (Prince Edward), Ghost (Grey), Ghost (Hastings), Ghost (Henry VI), Ghost (2 Princes), Ghost (Rivers), Ghost (Vaughan), Herbert, Messenger, Norfolk, Oxford, Ratcliffe, King Richard, Richmond, Surrey;yes;24
Romeo and Juliet;RJ I.Prologue;1;Chorus;no;1
Romeo and Juliet;RJ II.chorus;2;Chorus;no;1
Romeo and Juliet;RJ II.iii;3;Friar, Romeo;no;2
Romeo and Juliet;RJ II.v;4;Juliet, Nurse;no;2
Romeo and Juliet;RJ III.ii;5;Juliet, Nurse;no;2
Romeo and Juliet;RJ V.ii;6;Friar, John;no;2
Romeo and Juliet;RJ I.iv;7;Benvolio, Mercutio, Romeo;yes;3
Romeo and Juliet;RJ II.i;8;Benvolio, Mercutio, Romeo;no;3
Romeo and Juliet;RJ II.ii;9;Juliet, Nurse, Romeo;no;3
Romeo and Juliet;RJ II.vi;10;Friar, Juliet, Romeo;no;3
Romeo and Juliet;RJ III.iii;11;Friar, Nurse, Romeo;no;3
Romeo and Juliet;RJ III.iv;12;Capulet, Lady Capulet, Paris;no;3
Romeo and Juliet;RJ IV.i;13;Friar, Juliet, Paris;no;3
Romeo and Juliet;RJ IV.iii;14;Juliet, Lady Capulet, Nurse;no;3
Romeo and Juliet;RJ V.i;15;Apothecary, Balthasar, Romeo;no;3
Romeo and Juliet;RJ I.iii;16;Lady Capulet, Juliet, Nurse, Servant;no;4
Romeo and Juliet;RJ I.ii;17;Benvolio, Capulet, Paris, Romeo, Servant;no;5
Romeo and Juliet;RJ II.iv;18;Benvolio, Mercutio, Nurse, Peter, Romeo;no;5
Romeo and Juliet;RJ III.v;19;Capulet, Lady Capulet, Juliet, Nurse, Romeo;no;5
Romeo and Juliet;RJ IV.ii;20;Capulet, Lady Capulet, Juliet, Nurse, Servingman;yes;5
Romeo and Juliet;RJ IV.iv;21;Capulet, Lady Capulet, Nurse, First Servingman, Second Servingman;yes;5
Romeo and Juliet;RJ I.v;22;Capulet, Cousin Capulet, Lady Capulet, Juliet, Nurse, Romeo, First Servingman, Second Servingman, Third Servingman, Fourth Servingman, Tybalt;yes;11
Romeo and Juliet;RJ IV.v;23;Juliet, Capulet, Lady Capulet, Fiddler, First Musician, Second Musician, Third Musician, Friar, Nurse, Paris, Peter;yes;11
Romeo and Juliet;RJ III.i;24;Benvolio, Capulet, Lady Capulet, Citizens, Follower, Mercutio, Montague, Lady Montague, Page, Prince, Romeo, Tybalt;yes;12
Romeo and Juliet;RJ V.iii;25;Balthasar, Capulet, Lady Capulet, Juliet, Montague, Romeo, Page, Paris, Prince, First Watchman, Second Watchman, Third Watchman;yes;12
Romeo and Juliet;RJ I.i;26;Abram, Benvolio, Capulet, Lady Capulet, Citizens, Gregory, Montague, Lady Montague, Prince, Romeo, Sampson, Servingman, Tybalt;yes;13
The Comedy of Errors;CE I.i;1;Duke, Egeon, Gaoler;yes;3
The Comedy of Errors;CE II.i;2;Adriana, Domio of Ephesus, Luciana;no;3
The Comedy of Errors;CE IV.ii;3;Adriana, Domio of Syracuse, Luciana;no;3
The Comedy of Errors;CE IV.iii;4;Antipholus of Syracuse, Courtesan, Domio of Syracuse;no;3
The Comedy of Errors;CE I.ii;5;Antipholus of Syracuse, Domio of Ephesus, Domio of Syracuse, First Merchant;no;4
The Comedy of Errors;CE II.ii;6;Adriana, Antipholus of Syracuse, Domio of Syracuse, Luciana;no;4
The Comedy of Errors;CE III.ii;7;Angelo, Antipholus of Syracuse, Domio of Syracuse, Luciana;no;4
The Comedy of Errors;CE III.i;8;Adriana, Angelo, Antipholus of Ephesus, Balthasar, Domio of Ephesus, Domio of Syracuse, Luce;no;7
The Comedy of Errors;CE IV.i;9;Angelo, Antipholus of Ephesus, Courtesan, Domio of Ephesus, Domio of Syracuse, Officer, Second Merchant;no;7
The Comedy of Errors;CE IV.iv;10;Adriana, Antipholus of Ephesus, Antipholus of Syracuse, Domio of Ephesus, Domio of Syracuse, Luciana, Officer, Pinch;no;8
The Comedy of Errors;CE V.i;11;Abbess/Aemilia, Adriana, Angelo, Antipholus of Ephesus, Antipholus of Syracuse, Courtesan, Domio of Ephesus, Antipholus of Syracuse, Courtesan, Domio of Ephesus, Domio of Syracuse, Duke, Egeon, Luciana, Messenger, Second Merchant,;yes;9
The Merchant of Venice;MV II.iii;1;Jessica, Launcelot;no;2
The Merchant of Venice;MV II.vii;2;Morocco, Portia;yes;2
The Merchant of Venice;MV II.viii;3;Salerio, Solanio;no;2
The Merchant of Venice;MV I.ii;4;Nerissa, Portia, Servingman;no;3
The Merchant of Venice;MV I.iii;5;Antonio, Bassanio, Shylock;no;3
The Merchant of Venice;MV II.i;6;Morocco, Nerissa, Portia;yes;3
The Merchant of Venice;MV II.v;7;Jessica, Launcelot, Shylock;no;3
The Merchant of Venice;MV III.v;8;Jessica, Launcelot, Lorenzo;no;3
The Merchant of Venice;MV IV.ii;9;Gratiano, Nerissa, Portia;no;3
The Merchant of Venice;MV III.i;10;Salerio, Shylock, Solanio, Tubal;no;4
The Merchant of Venice;MV III.iii;11;Antonio, Gaoler, Shylock, Solanio;no;4
The Merchant of Venice;MV II.ii;12;Bassanio, Gobbo, Gratiano, Launcelot, Leonardo;yes;5
The Merchant of Venice;MV II.iv;13;Gratiano, Launcelot, Lorenzo, Salerio, Solanio;no;5
The Merchant of Venice;MV II.vi;14;Antonio, Gratiano, Jessica, Lorenzo, Salerio;no;5
The Merchant of Venice;MV II.ix;15;Arragon, Messenger, Nerissa, Portia, Servitor;yes;5
The Merchant of Venice;MV III.ii;16;Bassanio, Gratiano, Nerissa, Portia, Salerio;yes;5
The Merchant of Venice;MV III.iv;17;Balthasar, Jessica, Lorenzo, Nerissa, Portia;no;5
The Merchant of Venice;MV I.i;18;Antonio, Bassanio, Gratiano, Lorenzo, Salerio, Solanio;no;6
The Merchant of Venice;MV IV.i;19;Antonio, Bassanio, Duke, Gratiano, Nerissa, Portia, Salerio, Shylock;yes;8
The Merchant of Venice;MV V.i;20;Antonio, Bassanio, Gratiano, Jessica, Launcelot, Lorenzo, Nerissa, Portia, Stephano;yes;9
The Merry Wives of Windsor;MW V.iv;1;Evans;yes;1
The Merry Wives of Windsor;MW I.ii;2;Evans, Simple;no;2
The Merry Wives of Windsor;MW IV.iii;3;Bardolph, Host;no;2
The Merry Wives of Windsor;MW IV.vi;4;Fenton, Host;no;2
The Merry Wives of Windsor;MW V.i;5;Falstaff, Ford, Mistress Quickly;no;3
The Merry Wives of Windsor;MW V.ii;6;Page, Shallow, Slender;no;3
The Merry Wives of Windsor;MW V.iii;7;Caius, Mistress Ford, Mistress Page;no;3
The Merry Wives of Windsor;MW III.v;8;Bardolph, Falstaff, Ford, Mistress Quickly;no;4
The Merry Wives of Windsor;MW IV.i;9;Evans, Mistress Page, Mistress Quickly, William;no;4
The Merry Wives of Windsor;MW I.iv;10;Caius, Fenton, Mistress Quickly, Rugby, Simple;no;5
The Merry Wives of Windsor;MW IV.iv;11;Evans, Ford, Mistress Ford, Page, Mistress Page;no;5
The Merry Wives of Windsor;MW I.iii;12;Bardolph, Falstaff, Host, Nym, Pistol, Robin;no;6
The Merry Wives of Windsor;MW II.ii;13;Bardolph, Falstaff, Ford, Pistol, Mistress Quickly, Robin;no;6
The Merry Wives of Windsor;MW II.iii;14;Caius, Host, Page, Rugby, Shallow, Slender;no;6
The Merry Wives of Windsor;MW IV.v;15;Bardolph, Caius, Falstaff, Host, Mistress Quickly, Simple;no;6
The Merry Wives of Windsor;MW III.iv;16;Anne, Fenton, Page, Mistress Page, Mistress Quickly, Shallow, Slender;no;7
The Merry Wives of Windsor;MW II.i;17;Ford, Mistress Ford, Host, Nym, Page, Mistress Page, Mistress Quickly, Shallow;no;8
The Merry Wives of Windsor;MW III.i;18;Caius, Evans, Host, Page, Rugby, Shallow, Simple, Slender;no;8
The Merry Wives of Windsor;MW III.ii;19;Caius, Evans, Ford, Host, Mistress Page, Page, Robin, Rugby, Shallow, Slender;no;10
The Merry Wives of Windsor;MW III.iii;20;Caius, Evans, Falstaff, Ford, Mistress Ford, John, Page, Mistress Page, Robert, Robin;no;10
The Merry Wives of Windsor;MW IV.ii;21;Caius, Evans, Falstaff, Ford, Mistress Ford, John, Page, Mistress Page, Robert, Shallow;no;10
The Merry Wives of Windsor;MW I.i;22;Anne, Bardolph, Evans, Falstaff, Mistress Ford, Mistress Page, Nym, Page, Pistol, Shallow, Simple, Slender;no;12
The Merry Wives of Windsor;MW V.v;23;Anne, Boy 1, Boy 2, Caius, Evans, Falstaff, Fenton, Ford, Mistress Ford, Page, Mistress Page, Pistol, Mistress Quickly, Slender;yes;14
The Taming of the Shrew;TS III.i;1;Bianca, Hortensio, Lucentio, Servant;no;4
The Taming of the Shrew;TS IV.v;2;Hortensio, Katherina, Petruchio, Vincentio;yes;4
The Taming of the Shrew;TS I.ii;3;Biondello, Gremio, Grumio, Hortensio, Petruchio, Tranio;no;6
The Taming of the Shrew;TS IV.ii;4;Bianca, Biondello, Hortensio, Lucentio, Pedant, Tranio;no;6
The Taming of the Shrew;TS IV.iii;5;Grumio, Haberdasher, Hortensio, Katherina, Petruchio, Tailor;no;6
The Taming of the Shrew;TS IV.iv;6;Baptista, Biondello, Lucentio, Pedant, Peter, Tranio;no;6
The Taming of the Shrew;TS IV.i;7;Curtis, Grumio, Joseph, Katherina, Nathaniel, Nicholas, Petruchio, Philip;no;8
The Taming of the Shrew;TS induction.1;8;Hostess, First Huntsman, Page, First Player, Second Huntsman, Lord, First Servingman, Second Servingman, Third Servingman, Sly;yes;10
The Taming of the Shrew;TS II.i;9;Baptista, Bianca, Biondello, Gremio, Hortensio, Katherina, Lucentio, Petruchio, Servant, Tranio;no;10
The Taming of the Shrew;TS III.ii;10;Baptista, Bianca, Biondello, Gremio, Grumio, Hortensio, Katherina, Lucentio, Petruchio, Tranio;yes;10
The Taming of the Shrew;TS V.i;11;Baptista, Bianca, Biondello, Gremio, Grumio, Katherina, Lucentio, Pedant, Petruchio, Vincentio;yes;10
The Taming of the Shrew;TS I.i;12;Baptista, Bianca, Biondello, Gremio, Hortensio, Katherina, Lord, Lucentio, Page, Sly, Tranio;no;11
The Taming of the Shrew;TS V.ii;13;Baptista, Bianca, Biondello, Gremio, Grumio, Hortensio, Katherina, Lucentio, Pedant, Petruchio, Tranio, Vincentio, Widow;yes;13
The Tempest;Tem II.ii;1;Caliban, Stephano, Trinculo;no;3
The Tempest;Tem III.i;2;Ferdinand, Miranda, Prospero;no;3
The Tempest;Tem III.ii;3;Ariel, Caliban, Stephano, Trinculo;no;4
The Tempest;Tem I.ii;4;Ariel, Caliban, Ferdinand, Miranda, Prospero;no;5
The Tempest;Tem II.i;5;Adrian, Alonso, Antonio, Ariel, Francisco, Gonzalo, Sebastian;yes;7
The Tempest;Tem I.i;6;Alonso, Antonio, Boatswain, Ferdinand, Gonzalo, Mariners, Master, Sebastian;yes;8
The Tempest;Tem III.iii;7;Adrian, Alonso, Antonio, Ariel, Francisco, Gonzalo, Prospero, Sebastian;yes;8
The Tempest;Tem IV.i;8;Ariel, Caliban, Ceres, Ferdinand, Iris, Juno, Miranda, Prospero, Stephano, Trinculo;yes;10
The Tempest;Tem V.i;9;Adrian, Alonso, Antonio, Ariel, Boatswain, Caliban, Ferdinand, Francisco, Gonzalo, Master, Miranda, Prospero, Sebastian, Stephano, Trinculo;no;15
The Two Gentlemen of Verona;TG II.vi;1;Proteus;no;1
The Two Gentlemen of Verona;TG I.ii;2;Julia, Lucetta;no;2
The Two Gentlemen of Verona;TG II.v;3;Launce, Speed;no;2
The Two Gentlemen of Verona;TG II.vii;4;Julia, Lucetta;no;2
The Two Gentlemen of Verona;TG IV.iii;5;Eglamour, Silvia;no;2
The Two Gentlemen of Verona;TG V.i;6;Eglamour, Silvia;no;2
The Two Gentlemen of Verona;TG I.i;7;Proteus, Speed, Valentine;no;3
The Two Gentlemen of Verona;TG I.iii;8;Antonio, Panthino, Proteus;no;3
The Two Gentlemen of Verona;TG II.i;9;Silvia, Speed, Valentine;no;3
The Two Gentlemen of Verona;TG II.ii;10;Julia, Panthino, Proteus;no;3
The Two Gentlemen of Verona;TG II.iii;11;Crab, Launce, Panthino;no;3
The Two Gentlemen of Verona;TG III.ii;12;Duke, Proteus, Thurio;no;3
The Two Gentlemen of Verona;TG V.ii;13;Duke, Julia, Proteus, Thurio;no;4
The Two Gentlemen of Verona;TG V.iii;14;First Outlaw, Second Outlaw, Third Outlaw, Silvia;no;4
The Two Gentlemen of Verona;TG III.i;15;Duke, Launce, Proteus, Thurio, Valentine;no;5
The Two Gentlemen of Verona;TG IV.i;16;First Outlaw, Second Outlaw, Third Outlaw, Speed, Valentine;no;5
The Two Gentlemen of Verona;TG IV.ii;17;Host, Julia, Proteus, Silvia, Thurio;no;5
The Two Gentlemen of Verona;TG IV.iv;18;Crab, Julia, Launce, Proteus, Silvia;yes;5
The Two Gentlemen of Verona;TG II.iv;19;Duke, Proteus, Servant, Silvia, Speed, Thurio, Valentine;no;7
The Two Gentlemen of Verona;TG V.iv;20;Duke, First Outlaw, Second Outlaw, Third Outlaw, Julia, Proteus, Silvia, Thurio, Valentine;no;9
The Winter's Tale;WT IV.i;1;Time;no;1
The Winter's Tale;WT I.i;2;Archidamus, Camillo;no;2
The Winter's Tale;WT III.i;3;Cleomenes, Dion;no;2
The Winter's Tale;WT IV.ii;4;Camillo, Polixenes;no;2
The Winter's Tale;WT IV.iii;5;Autolycus, Clown;no;2
The Winter's Tale;WT II.ii;6;Emilia, Gaoler, Gentleman, Paulina;yes;4
The Winter's Tale;WT III.iii;7;Antigonus, Clown, Mariner, Shepherd;no;4
The Winter's Tale;WT I.ii;8;Camillo, Hermione, Leontes, Mamillius, Polixenes;yes;5
The Winter's Tale;WT II.iii;9;Antigonus, Leontes, Lord, Paulina, Servant;yes;5
The Winter's Tale;WT V.ii;10;Autolycus, Clown, First Gentleman, Second Gentleman, Third Gentleman, Shepherd;no;6
The Winter's Tale;WT II.i;11;Antigonus, Hermione, First Lady, Second Lady, Leontes, Lord, Mamillius;yes;7
The Winter's Tale;WT V.iii;12;Camillo, Florizel, Hermione, Leontes, Paulina, Perdita, Polixenes;yes;7
The Winter's Tale;WT V.i;13;Cleomenes, Dion, Florizel, Gentleman, Leontes, Lord, Paulina, Perdita;yes;8
The Winter's Tale;WT III.ii;14;Cleomenes, Dion, Hermione, First Lady, Second Lady, Leontes, Lord, Officer, Paulina, Servant;yes;10
The Winter's Tale;WT IV.iv;15;Autolycus, Camillo, Clown, Dorcas, Florizel, Mopsa, Perdita, Polixenes, Servant, Shepherd;yes;10
Timon of Athens;Tim IV.i;1;Timon;no;1
Timon of Athens;Tim V.iii;2;Soldier;no;1
Timon of Athens;Tim II.i;3;Caphis, Senator;no;2
Timon of Athens;Tim III.iii;4;Servant, Sempronius;no;2
Timon of Athens;Tim III.i;5;Flaminius, Luculius, Servant;no;3
Timon of Athens;Tim V.ii;6;Messenger, Third Senator, Fourth Senator;no;3
Timon of Athens;Tim III.v;7;Alcibiades, First Senator, Second Senator, Third Senator;yes;4
Timon of Athens;Tim IV.ii;8;Flavius, First Servant, Second Servant, Third Servant;yes;4
Timon of Athens;Tim V.iv;9;Alcibiades, First Senator, Second Senator, Soldier;yes;4
Timon of Athens;Tim III.ii;10;Lucius, Servilius, First Stranger, Second Stranger, Third Stranger;no;5
Timon of Athens;Tim III.vi;11;Lucius, Luculius, Sempronius, Timon, Ventidius;yes;5
Timon of Athens;Tim V.i;12;Flavius, Painter, Poet, First Senator, Second Senator, Timon;no;6
Timon of Athens;Tim IV.iii;13;Alcibiades, Apemantus, First Bandit, Second Bandit, Third Bandit, Flavius, Phrynia, Timandra, Timon;yes;9
Timon of Athens;Tim III.iv;14;Flaminius, Flavius, Hortensius, Lucius's Servant, Philotus, Servilius, Timon, Titus, First Varro's Servant, Second Varro's Servant;yes;10
Timon of Athens;Tim I.i;15;Alcibiades, Apemantus, First Lord, Second Lord, Jeweller, Luculius, Merchant, Messenger, Old Athenian, Painter, Poet, Timon;yes;12
Timon of Athens;Tim I.ii;16;Alcibiades, Apemantus, Cupid, Flavius, First Lord, Second Lord, Third Lord, First Servant, Second Servant, Third Servant, Timon, Ventidius;yes;12
Timon of Athens;Tim II.ii;17;Alcibiades, Apemantus, Caphis, Flaminius, Flavius, Fool, Isidore's Servant, Servant, Servilius, Page, Timon, Varro's Servant;yes;12
Titus Andronicus;Tit II.i;1;Aaron, Chiron, Demetrius;no;3
Titus Andronicus;Tit II.iii;2;Aaron, Tamora;no;4
Titus Andronicus;Tit III.ii;3;Lavinia, Young Lucius, Marcus, Titus;no;4
Titus Andronicus;Tit IV.i;4;Lavinia, Young Lucius, Marcus, Titus;no;4
Titus Andronicus;Tit V.i;5;Aaron, Aemilius, First Goth, Second Goth, Lucius;yes;5
Titus Andronicus;Tit IV.ii;6;Aaron, Attendant, Chiron, Demetrius, Young Lucius, Nurse;yes;6
Titus Andronicus;Tit IV.iv;7;Aemilius, Chiron, Clown, Demetrius, Saturninus, Tamora;yes;6
Titus Andronicus;Tit IV.iii;8;Caius, Clown, Young Lucius, Marcus, Publius, Sempronius, Titus;no;7
Titus Andronicus;Tit III.i;9;Aaron, Lavinia, Lucius, Marcus, Martius, Messenger, Quintus, Titus;yes;8
Titus Andronicus;Tit V.ii;10;Caius, Chiron, Demetrius, Lavinia, Marcus, Publius, Tamora, Titus, Valentine;no;9
Titus Andronicus;Tit II.ii;11;Bassianus, Chiron, Demetrius, Lavinia, Lucius, Marcus, Martius, Quintus, Saturninus, Titus;no;10
Titus Andronicus;Tit V.iii;12;Aaron, Aemilius, Goth, Lavinia, Lucius, Young Lucius, Marcus, Roman, Saturninus, Tamora, Titus;yes;11
Titus Andronicus;Tit II.iv;13;Aaron, Bassianus, Chiron, Demetrius, Lavinia, Lucius, Marcus, Martius, Quintus, Saturninus, Tamora, Titus;yes;12
Titus Andronicus;Tit I.i;14;Aaron, Alarbus, Bassianus, Captain, Chiron, Demetrius, Lavinia, Lucius, Marcus, Martius, Mutius, Quintus, Saturninus, Tamora, Titus, Tribune;yes;16
Troilus and Cressida;TC Prologue;1;Prologue;no;1
Troilus and Cressida;TC I.i;2;Aeneas, Pandarus, Troilus;no;3
Troilus and Cressida;TC V.viii;3;Achilles, Hector, Myrmidons;yes;3
Troilus and Cressida;TC II.i;4;Achilles, Ajax, Patroclus, Thersites;no;4
Troilus and Cressida;TC III.i;5;Helen, Pandarus, Paris, Servant;no;4
Troilus and Cressida;TC III.ii;6;Cressida, Man, Pandarus, Troilus;no;4
Troilus and Cressida;TC IV.ii;7;Aeneas, Cressida, Pandarus, Troilus;no;4
Troilus and Cressida;TC V.iv;8;Diomedes, Hector, Thersites, Troilus;no;4
Troilus and Cressida;TC V.vi;9;Ajax, Diomedes, Greek soldier, Hector, Troilus;no;5
Troilus and Cressida;TC I.iii;10;Aeneas, Agamemnon, Diomedes, Menelaus, Nestor, Ulysses;yes;6
Troilus and Cressida;TC II.ii;11;Cassandra, Hector, Helenus, Paris, Priam, Troilus;no;6
Troilus and Cressida;TC IV.i;12;Aeneas, Antenor, Deiphobus, Diomedes, Paris, Servant;yes;6
Troilus and Cressida;TC IV.iii;13;Aeneas, Antenor, Diomedes, Paris, Deiphobus, Troilus;no;6
Troilus and Cressida;TC V.ii;14;Calchas, Cressida, Diomedes, Thersites, Troilus, Ulysses;no;6
Troilus and Cressida;TC V.iii;15;Andromache, Cassandra, Hector, Pandarus, Priam, Troilus;no;6
Troilus and Cressida;TC V.vii;16;Achilles, Margarelon, Menelaus, Myrmidons, Paris, Thersites;yes;6
Troilus and Cressida;TC V.ix;17;Agamemnon, Ajax, Diomedes, Menelaus, Nestor, Soldiers;yes;6
Troilus and Cressida;TC V.x;18;Aeneas, Antenor, Deiphobus, Pandarus, Paris, Troilus;yes;6
Troilus and Cressida;TC V.v;19;Achilles, Agamemnon, Ajax, Diomedes, Nestor, Servant, Ulysses;yes;7
Troilus and Cressida;TC IV.iv;20;Aeneas, Antenor, Cressida, Deiphobus, Diomedes, Pandarus, Paris, Troilus;no;8
Troilus and Cressida;TC II.iii;21;Achilles, Agamemnon, Ajax, Calchas, Diomedes, Nestor, Patroclus, Thersites, Ulysses;no;9
Troilus and Cressida;TC I.ii;22;Aeneas, Alexander, Antenor, Boy, Cressida, Hector, Helenus, Pandarus, Paris, Troilus;yes;10
Troilus and Cressida;TC III.iii;23;Achilles, Agamemnon, Ajax, Calchas, Diomedes, Menelaus, Nestor, Patroclus, Thersites, Ulysses;no;10
Troilus and Cressida;TC V.i;24;Achilles, Agamemnon, Ajax, Diomedes, Hector, Menelaus, Nestor, Patroclus, Thersites, Troilus, Ulysses;no;11
Troilus and Cressida;TC IV.v;25;Achilles, Aeneas, Agamemnon, Ajax, Calchas, Cressida, Diomedes, Hector, Helenus, Menelaus, Nestor, Paris, Patroclus, Troilus, Ulysses;yes;15
Twelfth Night;TN I.ii;1;Captain, Viola;no;2
Twelfth Night;TN II.i;2;Antonio, Sebastian;no;2
Twelfth Night;TN II.ii;3;Malvolio, Viola;no;2
Twelfth Night;TN III.iii;4;Antonio, Sebastian;no;2
Twelfth Night;TN I.i;5;Curio, Orsino, Valentine;no;3
Twelfth Night;TN I.iii;6;Sir Andrew, Maria, Sir Toby;no;3
Twelfth Night;TN IV.iii;7;Olivia, Priest, Sebastian;no;3
Twelfth Night;TN I.iv;8;Curio, Orsino, Valentine, Viola;yes;4
Twelfth Night;TN II.iv;9;Curio, Feste, Orsino, Viola;yes;4
Twelfth Night;TN III.ii;10;Sir Andrew, Fabian, Maria, Sir Toby;no;4
Twelfth Night;TN IV.ii;11;Feste, Malvolio, Maria, Sir Toby;no;4
Twelfth Night;TN II.iii;12;Sir Andrew, Feste, Malvolio, Maria, Sir Toby;no;5
Twelfth Night;TN II.v;13;Sir Andrew, Fabian, Malvolio, Maria, Sir Toby;no;5
Twelfth Night;TN I.v;14;Feste, Malvolio, Maria, Olivia, Sir Toby, Viola;yes;6
Twelfth Night;TN III.i;15;Sir Andrew, Feste, Maria, Olivia, Sir Toby, Viola;no;6
Twelfth Night;TN IV.i;16;Sir Andrew, Fabian, Feste, Olivia, Sebastian, Sir Toby;no;6
Twelfth Night;TN III.iv;17;Sir Andrew, Antonio, Fabian, First Officer, Second Officer, Malvolio, Maria, Olivia, Sir Toby, Viola;no;10
Twelfth Night;TN V.i;18;Sir Andrew, Antonio, Attendant, Fabian, Feste, Malvolio, First Officer, Olivia, Orsino, Priest, Sebastian, Sir Toby, Viola;yes;13
